,,,,,,,,,cm,,Month/day/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,μg C/g soil,umol/g soil or nmol/g soil/hr,,ug NH4-N/g soil        ,Scale 0-14,μg C/g soil,%,,,,,,g/cc,%,,,%,ugN/g soil,,,μg N/g soil,Ratio,,ug NH4-N/g soil,,Status,Project links,Timestamp,,,,,,,,,,,,,,,,,,,,,,decimal degrees,decimal degrees
217,Kākoʻo ʻŌiwi,Round 2,Row Crop,,Own,290,2019-096,011-0022-2023-0050,,15,7-15-21,Oahu,,2,Cropland,2023-2024,Cropland,1990-2005,,NA,Unmanaged/abandoned,,,,Palani Ranch Plot 1 Sample 6,0.8 ac,Unmanaged forest,Commercial veg/fruits,,,Compost (2019),,,#VALUE!,,,,,None,,Yes,Yes,Other,,Pane,,,Conventional cropland,PIAL,,Inceptisol,,Ustoll,HAC,,2.99,95.85,78.01,23.81819576,22.93,7.83,2141.51,99.67,6.54,0.36,0.48,0.82,0.37,0.78,,#N/A,#N/A,0.11,34.57,24.54482031,15.6,158.11,8.665697274,11.27576907,9.42,,Done,,#N/A,0.19,10/15/2024,,55,,833,,#N/A,,,291,4.95,,547,,,,,525,,,19.099389,-155.880678
1067,CIG-2020,Baseline,,,Lease,2021-0617,2019-097,011-0281-2025-0206,0,15,8/12/2019,,,,Cropland,2012 to present,No Change,#N/A,#N/A,,,,,,10,1 acre,Agroforestry,No change,Synthetic blend,,,,,,,,,,None,Other,No,Yes,Sprinkle,,Lolekaa,,,Conventional cropland,None,,Andisol,Acrudox,Torrert,LAC,,11.32,,70.76,6.16,,7.64,364,115.57,3.4101,0.82,0.09,0.15,0.12,,46.65185784,#N/A,,0.35,#N/A,#N/A,#N/A,1739.51,9.92,9.015136755,17.46,,#N/A,,#N/A,scoring_function_noPIALv2,6,,#N/A,,#N/A,,,,,,,11.17,,,,,,,,,21.450804,-157.049778
678,HICSC,Baseline,,,Lease,2023-0062,2019-098,008-0204-2023-0345,0,15,7/30/2019,Big Island,,5,crop land,2019-curent,No Change,2011-2018,#N/A,,,,,,P7-cover crop-crotalaria,,Row crop monoculture,Commercial veg/fruits,Synthetic blend,,,,,,,,,,None,,Yes,No,,"Mulch (woodchip, leaf litter, other organic material)",Waialua,,,Pasture,PIAL,,Oxisol,Acroperox,Argid,HAC,,2.10,,149.56,41.2485534,20.86,6.86,214.00,,27.43,0.69,#N/A,0.79,0.53,,53.57,#N/A,,0.14,#N/A,#N/A,6.77,30.07,13.078125,5.437863054,4.18,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,3/9/2022,scoring_function_noPIALv2,,101,,2294,,,58,,,169,,,,,,,,,,,20.466695,-158.056269
1995,CIG-2020,,,,Lease,243,2019-099,022-0169-2023-0210,0,15,3/21/2023,Oahu,,60,Cropland,2017-2021,Cropland,1949-2019,Agroforestry,,Cropland,,,,LOT 110 T1,.0099 acres,pineapple,Commercial veg/fruits,Bone/blood meal,"500-1,000 lb/ac/yr",,,,,,,,,None,,No,No,drip irrigation,Mulch_(woodchip_leaf_litter_oth,Ookala,,,Pasture,None,,Vertisol,,,HAC,,2.32,92.25,62.45,39.29,23.96,6.7,,,17.81,0.54,0.24,0.58,#N/A,1.33,#N/A,#N/A,2.25,0.5,#N/A,7.215619813,17.82,,9.5,#N/A,2.17,,,https://docs.google.com/spreadsheets/d/1v-gX-zrJah2fKYf8qvFhXk_jvuS8YSDcctUnHklNBGU/edit#gid=364531522,7/8/2024,,10/15/2024,,,,879,,,,,,,,491,,,,,,,,20.903187,-157.279370
1228,CIG-2020,Round 1,,,Own,2024-0242,2019-0100,007-0028-2019-0215,0,15,11/19/2021,Big Island,,1ac,Unmanaged/abandoned,2016-2025,Pasture,#N/A,Pineapple or sugarcane plantation,,,,,,,2 ac,"spinach, arugula",Nothing/bare fallow,Synthetic blend,,,,,,,,,,Spader,Other,Yes,No,Surface Drip,Bare soil,Fraternidad,,,Pasture,None,,Ultisol,Haplustox,Ustand,HAC,,1.05,,73.56026324,24.78,171.85,7.05,2181.04,74.10,67.16735084,#N/A,0.43,0.38,#N/A,,#N/A,#N/A,0.00,1.03,#N/A,,#N/A,27.91,,10.52999799,,,Done,,7/10/2024,,8,68,35,,,,,,,,,,,#N/A,,,,,,,19.753758,-159.436339
1641,CIG-2020,WSARE-2019,,,Own,10,2019-0101,011-0074-2023-0305,0,15,6/26/2021,Big Island,,1.39,Orchard,2022-2023,Unmanaged/abandoned ag land,#N/A,1950-1985,,,,,,7,10,Agroforestry,Commercial veg/fruits,Synthetic blend,,,,,,,#VALUE!,,,,n/a,Yes,Yes,None,Weeds,Hanalei-Lolekaa,,,Pasture,,,Vertisol,Haplustoll,Argid,PNCM,,2.02,15.37,,,157.74,7.5,682,62.72,,0.51,0.61,0.49,0.58,0.91,54.92274143,#N/A,0.00,0.14,#N/A,6.041516923,95.63,,16.33333333,8.72,5.99,#REF!,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,,scoring_function_noPIALv2,10/15/2024,#N/A,,,,,,,,300,,#N/A,,,,,,,,,21.503705,-155.676987
1164,CIG-2020,,,,,2024-0388,2019-0102,023-0283-2024-0154,0,15,2/18/2023,Big Island,,28,Unmanaged/abandoned ag land,2019-curent,Protected forest,1971-1987,#N/A,,,,,,75,,Commercial veg/fruits,Weeds/Unmanaged,Synthetic blend,,,#VALUE!,,,,,,,,,No,Yes,Sprinkle,,Kaipoioi,,,Organic cropland,PIAL,,Vertisol,Gypitorrert,Udand,HAC,,6.87,345.49,,53.59,12.16,5.41,181.60,77.31,2.647488411,0.46,0.71,0.26,0.47,,#N/A,#N/A,#N/A,0.25,77.94,57.92183807,71.96,,11.24691358,,14.67,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,#N/A,scoring_function_noPIALv2,15,,,,,,25,1.19,,,#N/A,,,#N/A,,,#REF!,,,,22.197417,-157.867949
1636,Kākoʻo ʻŌiwi,Preclearing Baseline,,,Own,5,2019-0103,025-0019-2025-674-0007,0,15,10/7/2024,Ant,,0.49,City/state park,125,Protected forest,1881-1947,,#N/A,,,,,101,38.849,Mixed,Commercial veg/fruits,,"500-1,000 lb/ac/yr",,,,,,,,,None,"once, in the crop establishment",,No,None,Weeds,La Luna,,,UPIAL,None,,Mollisol,Gypitorrert,,HAC,,4.36,206.147,102.54,4.39,6.29,6.93,,123.35,85.5,0.15,0.55,,0.97,1.21,58.81,#N/A,,0.84,17.38,23.12191502,#N/A,139.51,11.76,440.25,10.51,,,#N/A,,scoring_function_noPIALv2,10/15/2024,32,,,,,,,,,,,,,#N/A,,,,,,21.589043,-157.658997
1009,CIG-2020,Round 1,,,Lease,2022-0157,2019-0104,007-0028-2019-0219,0,15,9/23/2019,Puerto Rico,,6,Protected forest,,,Cropland,,1889-1949,,,,,Reservoir,5.8,,Commercial veg/fruits,Compost,,,,,,,,,,None,,Yes,Yes,Surface Drip,Weeds,Waimea,,,Conventional cropland,PIAL,,Histosol,Calciargid,,PNCM,,3,391.06,154.64,49.94,,6.13,3172,81.26,1.12,0.05,0.19,0.54,0.07,#N/A,61.17824754,7.86,#N/A,0.13,#N/A,5.192721209,#N/A,45.38,10.63,,25,,Done,https://docs.google.com/spreadsheets/d/1m61bmvtgS4Gqk0l3GPzsqmWNdHMV5PDIf8911iSWvEI/edit#gid=1076234647,,,10/15/2024,,,,,331,#N/A,#N/A,73,,,,,,,,,,,,21.493625,-156.565212
,CIG-2020,Round 1,,,,2025-0194,2019-0105,023-0284-2024-0159,0,15,11/21/2023,Maui,,5,crop land,2018-current,Unmanaged forest,1949-2019,,____-1972,,,,,Control 2 - Section E,,Forage | Unmanaged forest,,Compost,"500-1,000 lb/ac/yr",,#VALUE!,,,,,,,,Other,Yes,No,,Plastic Mulch,Waialua,,,,PIAL,,Entisol,,Ustept,PNCM,,1.24,24.15,,8.48,141.58,6.82,160.49,,3.54,0.12,0.49,0.26,,0.99,,#N/A,#N/A,0.7,16.47,#N/A,#N/A,132.45,13.9893617,18.18883589,1.77,,#N/A,35.3,3/9/2022,scoring_function_noPIALv2,,,,,,,,,37,,5.36,,,,,,,,,,19.054100,-159.308946
1327,CIG-2020,Baseline,,,Own,2021-0685,2019-0106,011-0126-2024-0127,0,15,9/23/2019,Oahu,,128,Cropland,1985-2021,Protected forest,#N/A,,#N/A,,,,,62,5,Nothing/bare fallow,Protected forest,,,,,,,,,,#VALUE!,None,,No,Yes,Sprinkle,,Makiki,,,Pasture,,,Aridisol,,Perox,HAC,,3.91,23.670,21.43,81.78,10.59,7.58,202.61,222.89,,0.84,0.49,0.23,0.84,0.94,25.11,#N/A,,0.10,#N/A,0,#N/A,92.44,11.53,#N/A,15.86,,,,,scoring_function_noPIALv2,28,194,84,2527,,303,,,,,,,,,#N/A,,,,,,19.961284,-157.433124
,AFRI-2020,,,,,2023-0061,2019-0107,008-0204-2023-0359,5,,07/07/2022,Puerto Rico,,0.49,Cropland,,,,,#N/A,,NA,,,P2-control,0.046 acres,Forage | Unmanaged forest,Commercial veg/fruits,None,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,None,More than twice,No,Yes,None,Bare soil,Waialua,,,Organic,PIAL,Low,Ultisol,Haplustert,Torrert,HIST,,1.25,121.15,39.76,30.31,15.17,5.52,163,77.64,43.37,0.61,,,,,,0.00,#N/A,1,#N/A,#N/A,#N/A,,,13.32,3.3,,,36.3,7.1,0.39,21,,,2666,,,,#N/A,,,10.87,,,,,,,,,,19.333044,-157.316946
497,UROP-2019,,,,,2023-0305,2019-0108,008-0023-2018-0306,0,15,12/10/20,Oahu,,27,Unmanaged forest,100+,No Change,1980-2019,Pineapple or sugarcane plantation,,,,,,P10-cover crop- sogrhum sudan. Sorghum x drummondii. (Steud.),2.1,Row crop monoculture,No change,None,,,,,,,,,,Disc,More than twice,No,No,None,Weeds,Ewa,,,Conventional cropland,,,Mollisol,Palehumult,Aquept/Humolt,HAC,,6.2,72.92,66.34,20.98,,5.73,335.4,155.4,6.430120914,0.19,#N/A,#N/A,,,#N/A,1.48,#N/A,0.1,60.96,#N/A,#N/A,,8.5625,#N/A,0,,Done,33.75,7/10/2024,0.3,,22,#N/A,,1420,1037,,,112,,,,,#N/A,11.3,,,,,,21.550004,-159.510999
282,Kākoʻo ʻŌiwi,Round 2,,,Own,455,2019-0109,004-0310-2024-0428,0,15,2/6/2024,Oahu,,120,Pasture,,No Change,#N/A,,,,,,,3-3,2.5 acres,Agroforestry,Weeds/Unmanaged,Synthetic blend,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,None,More than twice,Yes,Yes,Surface Drip,Bare soil,Wahiawa,,,Protected forest,None,,Mollisol,,,HAC,,9.4,142.43,64.96,123.75,,7.53,867.21,61.53,1.81,0.81,,0.84,0.17,,#N/A,4.91,0.00,0.8,#N/A,#N/A,220.72,21.47,11.25423729,22.75,16.69,,Done,16.39,3/9/2022,,,338,,,,,,0.43,,223,,,,,,,,,,,19.414508,-157.447818
1568,Department of Health,Baseline,,,Own,2024-0255,2019-0110,024-0207-2023-0423,0,15,03/11/2023,Puerto Rico,,2,Cropland,2006-present,Unmanaged forest,1950-2014,,,,NA,,,P3-inter croping,.023 acres,Cover crop/legumes,"Orchard/Tree crop, Other - pasture/non-native grassland, Weeds/unmanaged",Synthetic blend,1-5 tons/ac/yr,,,,,,#VALUE!,,#VALUE!,None,,Unkonwn,No,None,,Hanalei-Lolekaa,,,Organic cropland,None,,Vertisol,Calciargid,Udand,HAC,,,237.9866583,30.75,-0.67,177.54,5.92,1334,171.74,1.18,0.95,#N/A,0.82,0.06,,,#N/A,1.00,0.71,#N/A,#N/A,208.48,129,10.68421053,#N/A,2.2,,,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit#gid=1076234646,8.1,scoring_function_noPIALv2,17,,,,#N/A,,,0.8,81,,#N/A,17.07,570,,,,,,,23_Long-Term Agroforestry Research/LTAR_HSH_SoilHealthDataAnalysis_NON-ANDIC_(LAC_HAC).xlsx,19.462873,-157.281941
587,ORCD,,,,,SH-NTBG-18,2019-0111,,0,15,07/06/2022,Oahu,,1ac,Protected forest,2006-current,Unmanaged/abandoned,#N/A,,,Unmanaged/abandoned,,,,L89-T1B,3.5,carrot,Nothing/bare fallow,Synthetic blend,,,,,,,,,,None,,Yes,Yes,Sprinkle,Grass,Umpump,,,Conventional cropland,PIAL,,Ultisol,Hydrudand,Ustoll,PNCM,,4.49,39.691,27.14,13.54,12.62,7.45,1522.77,69.3,,0.31,0.80,0.72,0.69,0.64,,0.21,#N/A,0.4,#N/A,32.64,#N/A,,10.44,#N/A,13.47,,Done,,8.2,scoring_function_noPIALv2,10/15/2024,,,,,,,,,127,,#N/A,,,,,,,,,20.097346,-155.008489
615,CIG-2020,,,,Own,403,2019-067,011-0074-2023-0152,0,15,5/17/2023,Oahu,#N/A,10 acres,Cropland,1985-2021,Pasture,,#N/A,#N/A,,,,,Kealialalo Black Gold 1,.008 Acres,Commercial veg/fruits,Commercial veg/fruits,,N/A,,,,,,,,,None,,No,No,None,,Puna 60% and 30%Haplic Udarents,,,Conventional,PIAL,,Andisol,,,,,1.81,233.56,56.2,119.32,,6.21,2700.08,137.87,19.5338,0.24,0.66,0.43,#N/A,0.52,96.35,#N/A,#N/A,0.15,#N/A,#N/A,23.98,,17.43617021,,6.43,,Done,#N/A,10/4/2023,scoring_function_noPIALv2,10/15/2024,,,2970,1300,858,,0.84,89,,,#N/A,,,,,,,12,,21.837061,-160.093647
762,CIG-2020,,,,Own,401,2019-068,017-0043-2021-0590,0,15,9/19/2023,Oahu,,2,Cropland,indigenous,Pig farming,1910-2000,,#N/A,,,,,2-4,,Weeds/Unmanaged,,Manures,0-250 lb/ac/yr,,,,,,,,,None,More than twice,Yes,No,Surface Drip,,Wahiawa,,,Does not apply,PIAL,,Mollisol,Palehumult,Ustox,LAC,,13.82,17.24,35.81,10.13,15.49,7.07,915.2670917,70.83,6.58,0.31,0.27,0.08,0.71,0.66,,#N/A,,0.88,35.9824329,#N/A,#N/A,,13.17,6.951005613,7.69,,Done,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,,,27,,,,#N/A,313,,,87,,,,,,,,,,,,20.100979,-155.698287
2063,Department of Health,Baseline,,,,419,2019-069,011-0085-2024-0081,0,15,10/24/2023,Big Island,,,Agroforestry,1998- 2019,Protected forest,,,,,,,,96,0.25,Protected forest,Orchard/tree crop,Synthetic blend,0-250 lb/ac/yr,,,,,,,,,None,Other,Yes,Yes,None,,Wahiawa,,,Pasture,None,,Andisol,Haplustand,Humult,,,1.89,8.933,39.31,47.84,-0.65,6.11,1136.24,92.67,8.11,#N/A,0.92,0.89,0.16,,62.47,#N/A,,0.16,29.32,15.49,#N/A,108.17,13.24705882,#N/A,3.38,,Done,,7/9/2024,,10/15/2024,,,,,,,,,,,9.19,1577,,,,#REF!,,,,21.951312,-156.312855
934,CIG-2020,WSARE-2019,,,Other,2023-0113,2019-070,020-0081-2024-0178,0,20,9/30/2024,Oahu,,23,Cropland,1890-2024,,1881-1947,1870-1981,#N/A,Unmanaged/abandoned,,,,,.008 Acres,Forage,Commercial veg/fruits,,,,,,,,#VALUE!,,#VALUE!,None,More than twice,No,Yes,None,,Kapaa,,,Does not apply,PIAL,,Ultisol,Haplustox,Ustoll,PNCM,,8.87,175.280,25.85,24.64,,8.5,362.87,145.2,,0.44,1.00,0.10,0.04,0.81,,#N/A,#N/A,0.79,,#N/A,0.11,13.44,,500.61,,,,https://docs.google.com/spreadsheets/d/1hHnR16Pm-SD0TlAZSCGVcxEi1iMQjoB3UhMNWIC99hI/edit?usp=sharing,,scoring_function_noPIALv2,10/15/2024,,,,,67,,1.05,,198,1.25,,,,,,,,,,21.160324,-160.148459
1990,LTAR,,,,,2023-0178,2019-071,007-0030-2021-0537,0,15,2025-05-16 00:00:00,Oahu,,32,Unmanaged/abandoned,2022-2026,Unmanaged/abandoned,,#N/A,#N/A,,,,,Avocado,,Commercial veg/fruits,Plantain and taro,Synthetic blend,,,,,,,,,,None,,,Yes,None,Bare soil,Waiakea,,,Not managed/abandoned,,,Andisol,Gypitorrert,Torrert,HAC,,2.5,,109,56.59447629,131.5,5.85,288.00,86.46,19.15,0.35,0.13,#N/A,0.94,1.16,67.08380008,6.46,#N/A,0.4,#N/A,19.27878863,38.75,41.94,9.17,#N/A,8.35,,Done,https://docs.google.com/spreadsheets/d/1pCYgXFAgVdQSXo7dxFWll33CC27Jc46VSCWVeIjVK5k/edit?usp=sharing,,0.14,10/15/2024,225,,,,,,,,,,,,#N/A,,,,236,,16_ORCD_USDA_NRCS /ORCD_HSH_SoilHealthDataAnalysis_NON-ANDIC_(LAC_HAC).xlsx,20.648956,-155.352720
522,HICSC,,Control,,Own,2023-0267,2019-072,011-0085-2024-0113,0,15,7/17/2024,Big Island,,1,Orchard,2008-2022,Protected forest,1900-2010,#N/A,unknown,,,,,HD3D,10 acres,Commercial veg/fruits,Commercial veg/fruits,Gypsum,0-250 lb/ac/yr,,,,,,,,,None,More than twice,,No,,Weeds,Hanalei-Lolekaa,,,Agroforestry,PIAL,,Ultisol,Kandiudox,Ustand,HAC,,2.26,26.79,90.53,50.03,79.62,7.16,2093.96,81.92,30.56,0.93,0.34,0.92,0.50,,,#N/A,,1.63,9.49,#N/A,18.58,32.05,,5.952521109,35.11,,Done,18.21,6.1,,,,,2858,,#N/A,,,,,#N/A,,1135,,,,,,,,21.731705,-159.611030
1824,CIG-2020,WSARE-2019,,,Lease,SH-WRS-66,2019-073,007-0028-2019-0218,0,15,5/23/2024,Puerto Rico,,61,horticulutral and vegetable,2019-2021,Unmanaged/abandoned,#N/A,,,,,,,P3-control-No cover crop,,Forage,Protected forest,None,,,,,,,,,#VALUE!,combo of chisel and disc,Other,Yes,No,None,Bare soil,Hilo,,,Conventional cropland,PIAL,,Andisol,Eutrotorrox,Torrox,HAC,,7.9,29.49,35.72,31.55,31.66,6.37,75.81,91.81,0.41,0.79,0.90,0.81,#N/A,,,,#N/A,0.68,8.28,#N/A,#N/A,53.91,10.08,#REF!,7.15,,,https://docs.google.com/spreadsheets/d/1hGlEMKGPfx7rKo0q2c9sM2IpVLl6aTYW1_uPczssraQ/edit#gid=2114689344,7/9/2024,scoring_function_noPIALv2,10/15/2024,,,,,,,,,#N/A,,,#N/A,,#N/A,,#N/A,,,,19.677687,-160.162808
1181,CIG-2020,WSARE-2019,,,Own,2025-674-0012,2019-074,010-0338-2025-0011,0,15,6/3/2019,Oahu,,28,Cropland,30-40,Unmanaged/abandoned,#N/A,,#N/A,Cropland,,,,94,,Protected forest,,Synthetic blend,250-500 lb/ac/yr,,,,,,,,#VALUE!,None,,,,Surface Drip,,Waialua Series,,,Conventional cropland,PIAL,,Oxisol,Palehumult,Udept,PNCM,,8.1,28.80,98.59,13.39,61.13,6.85,707.86,56.62,29.62,0.87,#N/A,0.59,0.10,1.28,77.76,#N/A,#N/A,,#N/A,#N/A,24.8,,9.71,60.15085377,21.33,,,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,7.2,scoring_function_noPIALv2,6,,,,230,,,,,319,,,498,,,,,,43,,21.295223,-157.638749
,CIG-2020,,,,Own,2023-0347,2019-075,011-0047-2024-0214,0,15,5/3/23,Oahu,,10 acres,Cropland,2014-2024,Cropland,#N/A,Unmanaged forest,#N/A,,,,,116,0.25,Dryland root crops,,None,250-500 lb/ac/yr,,,,,,,,,None,More than twice,Yes,Yes,Sprinkle,Grass,Pulehu,,,,PIAL,,Vertisol,Haplustox,Ustoll,HIST,,1.18,69.46,19.81,8.43,20.02,7.3,,92.84,12.26743815,0.06,,0.10,#N/A,,,0.20,0.50,,17.23,#REF!,9.69,32.41,8.704225352,10.13087137,8.58,,Done,https://docs.google.com/spreadsheets/d/1GwyqgNpfRC3okTlhCzqqJyHaifJUn20q7L_JJRwf6fA/edit,#N/A,0.29,#N/A,,,5462,971,,31,,,,,,,,,,,,,,21.985864,-160.016001
1758,AFRI-2020,WSARE-2019,,,Duamed Colon,2023-0300,2019-0112,017-0040-2023-0094,0,15,7/11/2024,Big Island,,5,Orchard,Continuous,Unmanaged forest,1994-2013,,1850-1950,,,,,Control 4,10 acres,Protected forest,,,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,#VALUE!,,,,,None,,No,No,None,"Mulch (woodchip, leaf litter, other organic material)",Wahiawa,,,Agroforestry,,,Vertisol,Hydrudand,Ustoll,HAC,,11.73,29.66,47.92,57.53,42.15,7.7,291,65.90,0.4,,#N/A,0.63,0.16,1.09,,,0.00,0.15,,7.074057412,4.44,85.92,8.222222222,#N/A,3.99,,,https://docs.google.com/spreadsheets/d/1zsjTDL8xr3F9MaZ12HnYuUH6hphFi-aYYOc9vxbqhwo/edit?usp=sharing ,,,10/15/2024,,128,634,1327,465,,,,,#N/A,,441,,,,#N/A,,231,,20.191777,-159.456335
1175,CIG-2020,Round 2,,,,2024-0402,2019-0113,016-0089-2022-0178,5,,7/31/2024,Big Island,,,Cropland,Continuous,Pineapple or sugarcane plantation,,,,,,,,28,10 acres,Row crop monoculture,Forage | Unmanaged forest,None,,,,,,,,,,None,,No,No,,Bare soil,Waialua Series,,,Mixed conventional and organic cropland,None,,Inceptisol,Kandiudox,Ustoll,LAC,,12.76,110.440,32.04,14.05,2.88,6.19,1087.69,89.49,31.73,0.38,0.79,0.53,0.50,1.30,,#N/A,#N/A,0.45,,#N/A,#N/A,25.71,6.833333333,#N/A,,,Done,,3/9/2022,0.24,10/15/2024,246,89,#N/A,,,131,,,,13.32,,1386,,,,,,,,20.826782,-159.317919
836,AFRI-Hawaii,Round 1,,,,2025-674-0011,2019-0114,001-0008-2018-0035,0,,07/20/2022,Oahu,#N/A,22.8 acres,Cropland,2006-current,Unmanaged forest,#N/A,#N/A,#N/A,,,,,Field 2,0.25,Weeds/Unmanaged,,None,,Lime,,,,,,,,None,,No,,Sprinkle,Bare soil,Waialua,,,Conventional cropland,PIAL,SKIP,Oxisol,Gypitorrert,Ustoll,HAC,,8.58,416.14,22.16,13.11,8.63,7.27,163,70.02,1.126623377,0.01,0.61,0.37,0.59,,61.51266755,0.00,0.25,1.15,#N/A,#N/A,3.01,40.03,7.606845128,12.46,2.64,,,#N/A,,scoring_function_noPIALv2,10/15/2024,,,,,,,1.02,,195,,10.32,,#N/A,,,#REF!,225,,,19.046298,-156.141328
1460,HICSC,Baseline,,,,2023-0087,2019-0115,022-0163-2023-0196,,15,9/12/2023,Tinian,,32,Cropland,10+,Pasture/cattle,#N/A,Unmanaged/abandoned,#N/A,Unmanaged/abandoned,,,,9,,Agroforestry,,Synthetic blend,,,,,,,,,,None,,No,No,None,Weeds,La Luna,,,Conventional cropland,PIAL,,Mollisol,Haplustert,Torrert,HAC,,2.66,73.167,,96.44,0,6.52,1621.92,128.50,4.27,0.73,0.84,0.13,#N/A,1.39,,6.31,#N/A,0.46,#N/A,#N/A,#N/A,27.82,0.02,,,,Done,46.11,10/4/2023,,12,23,,,329,159,,,85,,,,,,,,,513,,,20.018950,-157.085251
1624,CIG-2020,Round 2,,,Other,369,2019-0116,017-0141-2023-0130,0,15,12/12/17,Oahu,,10,Pasture,2013-current,Cropland,#N/A,,1950-1975,,,,,B,,Nothing/bare fallow,Commercial veg/fruits,,250-500 lb/ac/yr,,#VALUE!,,,,,,,,Other,No,Yes,None,,Waialua,,,Conventional cropland,PIAL,,Vertisol,Hydrudand,Aquept/Humolt,HAC,,2.13,14.77,108.32,13.36,286.6,6.77,212.00,,,0.78,0.49,0.10,0.13,0.78,34.02,#N/A,#N/A,0.17,#N/A,14.94,#N/A,73,12.36690647,#N/A,,,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,3/9/2022,0.38,10/15/2024,,,2699,,,,,,,,,,,,,,,,,20.560358,-156.487933
2044,CIG-2020,,,,Own,2024-0254,2019-0117,011-0049-2022-0005,70,15,05/24/2023,Kauai,,10,Cropland,1800's - 2022,Cropland,#N/A,,#N/A,,,,,,0.046 acres,Protected forest,Commercial veg/fruits,Bone/blood meal,"500-1,000 lb/ac/yr",,,,,,,,,None,"once, in the crop establishment",Yes,Yes,None,,Ookala,,,Conventional cropland,PIAL,,Andisol,Endoaquept/Palehumolt,,PNCM,,5.07,112.086,234.1358577,51.99,96.78,5.25,359.71,30.16,23.01802556,0.81,0.88,0.21,,,82.7733,#N/A,0.00,0.36,48.78,#N/A,11.06,20.47,14.50,#N/A,3.11,,Done,#N/A,7/10/2024,0.03,,,27,,,,,0.69,,,,,904,,,,,,,,19.614834,-156.090175
2045,Department of Health,Baseline,,,,2023-0018,2019-0118,017-0041-2021-0600,0,15,7-8-21,Oahu,,23,Cropland,2014-2024,,,#N/A,#N/A,,,,,Ground Cover + Compost 5,,Forage,Commercial veg/fruits,,"500-1,000 lb/ac/yr",,,,,,,,,None,,Yes,,Surface Drip,Weeds,Ookala,,,,None,,Andisol,Gypitorrert,,LAC,,10.5,68.93,,47.9,20.06,7.27,1025.91,104.99,0.9905665204,0.78,#N/A,0.73,0.26,,,0.33,#N/A,0.12,30.81,118.18,#N/A,141.35,8.097560976,,16.95,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,7/9/2024,0.13,15,,,,,,,,77,,,,491,,#N/A,#N/A,,,,,19.967703,-160.172462
982,Magoon,,,,Own,283,2019-0119,008-0204-2023-0332,0,15,9/12/2024,Oahu,,10,horticulutral and vegetable,Unmanaged forest,,,Pasture,NA,,,,,97,.026 acres,Weeds/Unmanaged,Grass/weeds/unmanaged,Synthetic blend,,,,,,,#VALUE!,,,None,More than twice,Yes,Yes,None,,Wahiawa,,,Agroforestry,None,,Mollisol,Gypitorrert,Perox,HAC,,8.14,29.12,29.36953885,6.58,,8.11,146,129.74,0.75,,0.50,0.91,,0.84,69.88264385,0.01,#N/A,,,#N/A,26.99,27.29,11.52,141.88,44.75,,,https://docs.google.com/spreadsheets/d/1hHnR16Pm-SD0TlAZSCGVcxEi1iMQjoB3UhMNWIC99hI/edit?usp=sharing,,scoring_function_noPIALv2,10/15/2024,,,2401,,,,,,,,9.35,,,,,,,,,19.669407,-159.848440
1567,CIG-2020,Round 2,,,Own,2025-0034,2019-0120,011-0085-2024-0079,0,15,6/29/2022,Oahu,,2,Cropland,2000-2024,Protected forest,,,1960-2001,,,,,98,,Forage,,,250-500 lb/ac/yr,,,,#VALUE!,,,,,None,,Yes,No,Sprinkle,Living mulch,Kemole,,,City/state park,PIAL,,Mollisol,,Humult,HAC,,1.16,116.040,46.45,22.42,44.18,5.51,1659.62,91.89,2.467580196,0.34,#N/A,0.22,0.76,0.56,,,,0.14,,44.65101039,#N/A,,12,8.577827785,4.21,,,https://docs.google.com/spreadsheets/d/1pCYgXFAgVdQSXo7dxFWll33CC27Jc46VSCWVeIjVK5k/edit?usp=sharing,,,#N/A,,78,1353,1125,,,#N/A,,,,,#N/A,,,,,,,,20.324086,-156.230655
