Intake_number,primary_project,secondary_project,tertiary_project,sampling_round,land_ownership,old_SH_1,SH_1,barcode,depth_top,depth_bottom,date_sampled,island,site_name,treatment,site_number,current_land_use,years_under_current_land_use,most_previous_land_use,years_under_most_previous _land_use,additional_previous _land_use,years_under_additional_previous _land_use,additional_previous_land_use_2,years_under_additional_previous_land_use_2,additional_previous_land_use_3,years_under_additional_previous_land_use_3,plot_name,plot_area,current_plant_cover,previous_crop_cover,fertilizer_type_1,fertilizer_rate_1,fertilizer_type_2,fertilizer_rate_2,fertilizer_type_3,fertilizer_rate_3,fertilizer_type_4,fertilizer_rate_4,fertilizer_type_5,fertilizer_rate_5,tillage,tillage_frequency,herbicide,pesticide,irrigation_type,additional_soil_cover,soil_series,latitude,longitude,mean_annual_precip,mean_annual_temp,management_category,PIAL_none,dist_level,order,great_group,suborder,minerals,texture,toc,co2_burst,beta_glucosidase,beta_glucosaminidase,pmn,ph,hwec,whc,wsa_mega,v2_shs_cdf,v2_shs_raw,v2_factor1_cdf,v2_factor1_raw,v2_factor2_cdf,v2_factor2_raw,v2_factor3_cdf,v2_factor3_raw,v4_shs_cdf,v4_shs_raw,v4_factor1_cdf,v4_factor1_raw,v4_factor2_cdf,v4_factor2_raw,v4_factor3_cdf,v4_factor3_raw,bd,wsa_macro,weight_of_rocks_>2mm,volume_of_rocks_>2mm_mL,tn,tdn,din,don,hwen,c_n,doc_don,ammonium,assessment,status,hyperlinks,Last updated
900027,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 3,Synthetic,SYN-OLD-0027,SYN-0027,SYN-02-05-03-0027,0,15,2026-10-20,Hawaii,Synthetic Kona Rotation Trial,Bare fallow replicate 2,SYN-KO-02,Cropland,3,Unmanaged/abandoned,10,,,,,,,CC-B2,100,Bare fallow,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.506000,-155.920000,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.790,253.000,87.100,35.000,51.500,6.490,524.000,57.300,31.200,0.580000,0.080,0.600000,0.040,0.565000,0.050,0.550000,-0.260,0.610000,0.140,0.628000,0.140,0.598000,0.110,0.585000,-0.160,1.165,49.600,1.320,2.440,0.255,31.300,7.500,22.900,41.100,12.150,22.000,4.950,Synthetic example,Synthetic,,2026-07-09
900028,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 1,Synthetic,SYN-OLD-0028,SYN-0028,SYN-02-06-01-0028,0,15,2026-02-20,Hawaii,Synthetic Kona Rotation Trial,Bare fallow replicate 3,SYN-KO-02,Cropland,1,Unmanaged/abandoned,10,,,,,,,CC-B3,100,Bare fallow,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.506800,-155.920800,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.520,237.000,82.400,32.900,48.600,6.470,500.000,55.900,29.000,0.525000,-0.070,0.545000,-0.100,0.510000,-0.070,0.495000,-0.360,0.544000,-0.030,0.562000,-0.020,0.532000,-0.030,0.519000,-0.280,1.200,48.000,1.300,2.360,0.240,29.900,7.100,21.800,39.400,12.350,21.800,4.750,Synthetic example,Synthetic,,2026-07-09
900029,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 2,Synthetic,SYN-OLD-0029,SYN-0029,SYN-02-06-02-0029,0,15,2026-06-20,Hawaii,Synthetic Kona Rotation Trial,Bare fallow replicate 3,SYN-KO-02,Cropland,2,Unmanaged/abandoned,10,,,,,,,CC-B3,100,Bare fallow,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.506800,-155.920800,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.700,248.000,85.600,34.400,50.600,6.500,518.000,57.000,30.400,0.560000,0.020,0.580000,-0.020,0.545000,0.000,0.530000,-0.300,0.584000,0.070,0.602000,0.070,0.572000,0.050,0.559000,-0.210,1.190,49.200,1.340,2.440,0.250,31.000,7.400,22.600,40.600,12.300,22.000,4.900,Synthetic example,Synthetic,,2026-07-09
900030,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 3,Synthetic,SYN-OLD-0030,SYN-0030,SYN-02-06-03-0030,0,15,2026-10-20,Hawaii,Synthetic Kona Rotation Trial,Bare fallow replicate 3,SYN-KO-02,Cropland,3,Unmanaged/abandoned,10,,,,,,,CC-B3,100,Bare fallow,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.506800,-155.920800,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.880,259.000,88.800,35.900,52.600,6.530,536.000,58.100,31.800,0.595000,0.110,0.615000,0.060,0.580000,0.070,0.565000,-0.240,0.624000,0.170,0.642000,0.160,0.612000,0.130,0.599000,-0.140,1.180,50.400,1.380,2.520,0.260,32.100,7.700,23.400,41.800,12.250,22.200,5.050,Synthetic example,Synthetic,,2026-07-09
900031,Synthetic Pasture Recovery Time Series,Grazing Management,Rotational Grazing,Timepoint 1,Synthetic,SYN-OLD-0031,SYN-0031,SYN-03-01-01-0031,0,15,2025-03-10,Maui,Synthetic Upcountry Pasture Station,Rotational grazing high residue,SYN-UP-03,Pasture,1,Pasture,10,,,,,,,PR-01,100,Rotational grazing,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Rainfed,Living cover,Synthetic Kula,20.775800,-156.326800,780.0,20.4,Pasture,None,,Inceptisol,Dystrudept,Udept,PNCM,Loam,3.420,232.000,80.900,32.400,49.100,6.470,485.000,55.900,29.000,0.510000,-0.040,0.530000,-0.050,0.495000,-0.050,0.480000,-0.330,0.529000,-0.010,0.547000,0.040,0.517000,-0.020,0.504000,-0.240,1.165,48.000,1.200,2.260,0.245,28.900,6.900,21.300,39.900,12.250,22.000,4.750,Synthetic example,Synthetic,,2026-07-09
900032,Synthetic Pasture Recovery Time Series,Grazing Management,Rotational Grazing,Timepoint 2,Synthetic,SYN-OLD-0032,SYN-0032,SYN-03-01-02-0032,0,15,2026-03-10,Maui,Synthetic Upcountry Pasture Station,Rotational grazing high residue,SYN-UP-03,Pasture,2,Pasture,10,,,,,,,PR-01,100,Rotational grazing,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Rainfed,Living cover,Synthetic Kula,20.775800,-156.326800,780.0,20.4,Pasture,None,,Inceptisol,Dystrudept,Udept,PNCM,Loam,3.600,243.000,84.100,33.900,51.100,6.500,503.000,57.000,30.400,0.545000,0.050,0.565000,0.030,0.530000,0.020,0.515000,-0.270,0.569000,0.090,0.587000,0.130,0.557000,0.060,0.544000,-0.170,1.155,49.200,1.240,2.340,0.255,30.000,7.200,22.100,41.100,12.200,22.200,4.900,Synthetic example,Synthetic,,2026-07-09
900033,Synthetic Pasture Recovery Time Series,Grazing Management,Rotational Grazing,Timepoint 3,Synthetic,SYN-OLD-0033,SYN-0033,SYN-03-01-03-0033,0,15,2027-03-10,Maui,Synthetic Upcountry Pasture Station,Rotational grazing high residue,SYN-UP-03,Pasture,3,Pasture,10,,,,,,,PR-01,100,Rotational grazing,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Rainfed,Living cover,Synthetic Kula,20.775800,-156.326800,780.0,20.4,Pasture,None,,Inceptisol,Dystrudept,Udept,PNCM,Loam,3.780,254.000,87.300,35.400,53.100,6.530,521.000,58.100,31.800,0.580000,0.140,0.600000,0.110,0.565000,0.090,0.550000,-0.210,0.609000,0.190,0.627000,0.220,0.597000,0.140,0.584000,-0.100,1.145,50.400,1.280,2.420,0.265,31.100,7.500,22.900,42.300,12.150,22.400,5.050,Synthetic example,Synthetic,,2026-07-09
900034,Synthetic Pasture Recovery Time Series,Grazing Management,Rotational Grazing,Timepoint 1,Synthetic,SYN-OLD-0034,SYN-0034,SYN-03-02-01-0034,0,15,2025-03-10,Maui,Synthetic Upcountry Pasture Station,Rotational grazing low residue,SYN-UP-03,Pasture,1,Pasture,10,,,,,,,PR-02,100,Rotational grazing,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Rainfed,Living cover,Synthetic Kula,20.776600,-156.327600,780.0,20.4,Pasture,None,,Inceptisol,Dystrudept,Udept,PNCM,Loam,3.510,238.000,82.600,33.300,50.200,6.510,497.000,56.700,29.600,0.525000,-0.010,0.545000,-0.030,0.510000,-0.030,0.495000,-0.310,0.543000,0.020,0.561000,0.060,0.531000,0.000,0.518000,-0.220,1.180,48.800,1.260,2.340,0.250,29.700,7.100,21.800,40.600,12.350,22.200,4.850,Synthetic example,Synthetic,,2026-07-09
900035,Synthetic Pasture Recovery Time Series,Grazing Management,Rotational Grazing,Timepoint 2,Synthetic,SYN-OLD-0035,SYN-0035,SYN-03-02-02-0035,0,15,2026-03-10,Maui,Synthetic Upcountry Pasture Station,Rotational grazing low residue,SYN-UP-03,Pasture,2,Pasture,10,,,,,,,PR-02,100,Rotational grazing,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Rainfed,Living cover,Synthetic Kula,20.776600,-156.327600,780.0,20.4,Pasture,None,,Inceptisol,Dystrudept,Udept,PNCM,Loam,3.690,249.000,85.800,34.800,52.200,6.540,515.000,57.800,31.000,0.560000,0.080,0.580000,0.050,0.545000,0.040,0.530000,-0.250,0.583000,0.120,0.601000,0.150,0.571000,0.080,0.558000,-0.150,1.170,50.000,1.300,2.420,0.260,30.800,7.400,22.600,41.800,12.300,22.400,5.000,Synthetic example,Synthetic,,2026-07-09
900036,Synthetic Pasture Recovery Time Series,Grazing Management,Rotational Grazing,Timepoint 3,Synthetic,SYN-OLD-0036,SYN-0036,SYN-03-02-03-0036,0,15,2027-03-10,Maui,Synthetic Upcountry Pasture Station,Rotational grazing low residue,SYN-UP-03,Pasture,3,Pasture,10,,,,,,,PR-02,100,Rotational grazing,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Rainfed,Living cover,Synthetic Kula,20.776600,-156.327600,780.0,20.4,Pasture,None,,Inceptisol,Dystrudept,Udept,PNCM,Loam,3.870,260.000,89.000,36.300,54.200,6.570,533.000,58.900,32.400,0.595000,0.170,0.615000,0.130,0.580000,0.110,0.565000,-0.190,0.623000,0.220,0.641000,0.240,0.611000,0.160,0.598000,-0.080,1.160,51.200,1.340,2.500,0.270,31.900,7.700,23.400,43.000,12.250,22.600,5.150,Synthetic example,Synthetic,,2026-07-09
900037,Synthetic Pasture Recovery Time Series,Grazing Management,Rotational Grazing,Timepoint 1,Synthetic,SYN-OLD-0037,SYN-0037,SYN-03-03-01-0037,0,15,2025-03-10,Maui,Synthetic Upcountry Pasture Station,Continuous grazing,SYN-UP-03,Pasture,1,Pasture,10,,,,,,,PR-03,100,Continuous grazing,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Rainfed,Living cover,Synthetic Kula,20.777400,-156.328400,780.0,20.4,Pasture,None,,Inceptisol,Dystrudept,Udept,PNCM,Loam,3.600,244.000,84.300,34.200,51.300,6.550,509.000,57.500,30.200,0.540000,0.020,0.560000,-0.010,0.525000,-0.010,0.510000,-0.290,0.557000,0.050,0.575000,0.080,0.545000,0.020,0.532000,-0.200,1.195,49.600,1.320,2.420,0.255,30.500,7.300,22.300,41.300,12.450,22.400,4.950,Synthetic example,Synthetic,,2026-07-09
900038,Synthetic Pasture Recovery Time Series,Grazing Management,Rotational Grazing,Timepoint 2,Synthetic,SYN-OLD-0038,SYN-0038,SYN-03-03-02-0038,0,15,2026-03-10,Maui,Synthetic Upcountry Pasture Station,Continuous grazing,SYN-UP-03,Pasture,2,Pasture,10,,,,,,,PR-03,100,Continuous grazing,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Rainfed,Living cover,Synthetic Kula,20.777400,-156.328400,780.0,20.4,Pasture,None,,Inceptisol,Dystrudept,Udept,PNCM,Loam,3.780,255.000,87.500,35.700,53.300,6.580,527.000,58.600,31.600,0.575000,0.110,0.595000,0.070,0.560000,0.060,0.545000,-0.230,0.597000,0.150,0.615000,0.170,0.585000,0.100,0.572000,-0.130,1.185,50.800,1.360,2.500,0.265,31.600,7.600,23.100,42.500,12.400,22.600,5.100,Synthetic example,Synthetic,,2026-07-09
900039,Synthetic Pasture Recovery Time Series,Grazing Management,Rotational Grazing,Timepoint 3,Synthetic,SYN-OLD-0039,SYN-0039,SYN-03-03-03-0039,0,15,2027-03-10,Maui,Synthetic Upcountry Pasture Station,Continuous grazing,SYN-UP-03,Pasture,3,Pasture,10,,,,,,,PR-03,100,Continuous grazing,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Rainfed,Living cover,Synthetic Kula,20.777400,-156.328400,780.0,20.4,Pasture,None,,Inceptisol,Dystrudept,Udept,PNCM,Loam,3.960,266.000,90.700,37.200,55.300,6.610,545.000,59.700,33.000,0.610000,0.200,0.630000,0.150,0.595000,0.130,0.580000,-0.170,0.637000,0.250,0.655000,0.260,0.625000,0.180,0.612000,-0.060,1.175,52.000,1.400,2.580,0.275,32.700,7.900,23.900,43.700,12.350,22.800,5.250,Synthetic example,Synthetic,,2026-07-09
900040,Synthetic Pasture Recovery Time Series,Grazing Management,Rotational Grazing,Timepoint 1,Synthetic,SYN-OLD-0040,SYN-0040,SYN-03-04-01-0040,0,15,2025-03-10,Maui,Synthetic Upcountry Pasture Station,Exclosure reference,SYN-UP-03,Pasture,1,Pasture,10,,,,,,,PR-04,100,Ungrazed reference,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Rainfed,Living cover,Synthetic Kula,20.778200,-156.329200,780.0,20.4,Pasture,None,,Inceptisol,Dystrudept,Udept,PNCM,Loam,3.690,250.000,86.000,35.100,52.400,6.590,521.000,58.300,30.800,0.555000,0.050,0.575000,0.010,0.540000,0.010,0.525000,-0.270,0.571000,0.080,0.589000,0.100,0.559000,0.040,0.546000,-0.180,1.210,50.400,1.380,2.500,0.260,31.300,7.500,22.800,42.000,12.550,22.600,5.050,Synthetic example,Synthetic,,2026-07-09
900041,Synthetic Pasture Recovery Time Series,Grazing Management,Rotational Grazing,Timepoint 2,Synthetic,SYN-OLD-0041,SYN-0041,SYN-03-04-02-0041,0,15,2026-03-10,Maui,Synthetic Upcountry Pasture Station,Exclosure reference,SYN-UP-03,Pasture,2,Pasture,10,,,,,,,PR-04,100,Ungrazed reference,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Rainfed,Living cover,Synthetic Kula,20.778200,-156.329200,780.0,20.4,Pasture,None,,Inceptisol,Dystrudept,Udept,PNCM,Loam,3.870,261.000,89.200,36.600,54.400,6.620,539.000,59.400,32.200,0.590000,0.140,0.610000,0.090,0.575000,0.080,0.560000,-0.210,0.611000,0.180,0.629000,0.190,0.599000,0.120,0.586000,-0.110,1.200,51.600,1.420,2.580,0.270,32.400,7.800,23.600,43.200,12.500,22.800,5.200,Synthetic example,Synthetic,,2026-07-09
900042,Synthetic Pasture Recovery Time Series,Grazing Management,Rotational Grazing,Timepoint 3,Synthetic,SYN-OLD-0042,SYN-0042,SYN-03-04-03-0042,0,15,2027-03-10,Maui,Synthetic Upcountry Pasture Station,Exclosure reference,SYN-UP-03,Pasture,3,Pasture,10,,,,,,,PR-04,100,Ungrazed reference,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Rainfed,Living cover,Synthetic Kula,20.778200,-156.329200,780.0,20.4,Pasture,None,,Inceptisol,Dystrudept,Udept,PNCM,Loam,4.050,272.000,92.400,38.100,56.400,6.650,557.000,60.500,33.600,0.625000,0.230,0.645000,0.170,0.610000,0.150,0.595000,-0.150,0.651000,0.280,0.669000,0.280,0.639000,0.200,0.626000,-0.040,1.190,52.800,1.460,2.660,0.280,33.500,8.100,24.400,44.400,12.450,23.000,5.350,Synthetic example,Synthetic,,2026-07-09
