,,,,,,,,,cm,,Month/day/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,μg C/g soil,umol/g soil or nmol/g soil/hr,,ug NH4-N/g soil        ,Scale 0-14,μg C/g soil,%,,,,,,g/cc,%,,,%,ugN/g soil,,,μg N/g soil,Ratio,,ug NH4-N/g soil,,Status,Project links,Timestamp,,
1211,LTAR,Baseline,,,Other,2024-0515,2018-284,024-0217-2023-0433,0,15,11/21/2023,Big Island,Synthetic Big Island Site 051,,60,,2009-2022,Unmanaged/abandoned ag land,,,#N/A,,,,,99,0.17,Unmanaged forest,Commercial veg/fruits,Compost,"500-1,000 lb/ac/yr",,,,#VALUE!,,,,#VALUE!,Disc,More than twice,No,Yes,Sprinkle,"Mulch (woodchip, leaf litter, other organic material)",Umpump,21.298961,-159.373566,,,Conventional cropland,None,,Oxisol,Haplustoll,Udand,HAC,,3.8,180.65,,17.62488211,215.59,6.43,75.52,76.32,20.23528478,0.96,0.14,,0.52,,42.22,0.43,0.00,0.56,#REF!,#N/A,#N/A,21.85,,#N/A,2.19,,Done,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,,scoring_function_noPIALv2,
249,SSH,Baseline,,,Other,240,2018-285,001-0002-2017-0009,0,,10/10/2023,Oahu,Synthetic Oahu Site 462,,22,Unmanaged forest,2017-current,No Change,,,,,,,,ʻ2-5,,Nothing/bare fallow,No change,Compost,,,,,#VALUE!,,,,#VALUE!,None,,Yes,No,None,Bare soil,Wahiawa,21.682193,-157.647728,,,Organic,PIAL,,Mollisol,Gypitorrert,Humult,LAC,,1.87,66.25,119.33,37.60,4.15,7.14,570,190.2,89.9651,0.11,0.31,0.79,0.39,0.76,,#N/A,#N/A,,#N/A,#N/A,0.49,28.57,12.425,,7.33,,Done,https://docs.google.com/spreadsheets/d/1GwyqgNpfRC3okTlhCzqqJyHaifJUn20q7L_JJRwf6fA/edit,3/9/2022,scoring_function_noPIALv2,15
,CIG-2020,,,,Other,2025-0215,2018-286,008-0204-2023-0335,0,15,2/8/21,Maui,Synthetic Maui Site 016,,10 acres,Pasture,1980-2021,Cropland,,,,,,,,,,cabbage,Forage,None,250-500 lb/ac/yr,,,,,,,,#VALUE!,None,,No,No,,,Lolekaa,20.995975,-156.081766,,,Mixed conventional and organic,Yes,,Oxisol,Haplustept,Ustox,HAC,,6.12,89.43,94,,145.61,6.25,177.00,93.16,79.38,,#N/A,0.88,0.19,,28.95,0.00,#N/A,0.49,,,63.13,141.8,11.97297297,9.317963374,5.76,,,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,7.7,scoring_function_noPIALv2,
89,HICSC,Waialua Farms,,,,2024-0277,2018-287,022-0154-2023-0187,0,20,12/7/23,Oahu,Synthetic Oahu Site 421,,2,Unmanaged forest,2022-2024,Unmanaged forest,1950-2014,,Cropland,,,,,7-5,,Weeds/Unmanaged,Weeds/Unmanaged,"synthetic blend, compost, compost tea, sometimes vermiculture",0-250 lb/ac/yr,,,,#VALUE!,,,,,,More than twice,Yes,Yes,None,"Mulch (woodchip, leaf litter, other organic material), Weeds - existing grass mat",Lualualei,21.321238,-157.765800,,,Conventional cropland,PIAL,,Vertisol,Calciargid,,PNCM,,5.2,17.294,57.44,,25.72,7.04,511.93,104.99,33.03,0.19,0.14,0.23,#N/A,,,3.42,#N/A,1.36,22.28,#N/A,6.88,177.73,11,#N/A,17.90,,,13.66,10/4/2023,,10/15/2024
521,CIG-2020,,,,Own,2023-0145,2018-288,011-0074-2022-0078,0,15,9/19/2023,Oahu,Synthetic Oahu Site 220,,26,Cropland,,Cropland (corn),Unknown-2016,,,,,,,81,.026 acres,Orchard/tree crop,Forage,None,,,,,,,,,,None,,Yes,Yes,drip irrigation,Weeds,Waialua Series,21.642593,-157.899300,,,Conventional cropland,None,,Ultisol,Kanhaplohumult,,PNCM,,7.98,,73.9,35.02,20.01,6.56,160.03,101.68,0,0.18,#N/A,0.80,0.38,,38.97425811,#N/A,3.00,0.8,#N/A,#N/A,38.47,,10.42857143,,6.59,,,33.87,3/9/2022,scoring_function_noPIALv2,28
245,AFRI-2020,Baseline,,,Other,2023-0372,2018-289,011-0124-2023-0411,0,15,11/4/2020,,Synthetic Hawaii Site 597,,29,Unmanaged forest,2006-present,Unmanaged/abandoned,#N/A,Pasture,#N/A,Cropland,,,,Field 1,0.0099 acres,,Row crop monoculture,Synthetic blend,0-250 lb/ac/yr,,,,,,,,,None,Other,No,No,Sprinkle,Plastic Mulch,Lolekaa,20.019479,-159.212462,,,,None,high,Histosol,Dystrustept,Argid,HAC,,,61.861,20.85,14.09,8.31,5.52,238,69.01,8.15,0.60,,0.22,0.88,#N/A,63.4,0.23,,0.16,#DIV/0!,6.647116771,#N/A,31.92,8.789473684,#N/A,21.02,,,https://docs.google.com/spreadsheets/d/1GwyqgNpfRC3okTlhCzqqJyHaifJUn20q7L_JJRwf6fA/edit,7.6,,10/15/2024
12,Client Projects,,,,Duamed Colon,429,2018-290,025-0019-2024-0340,0,15,2025-02-07 00:00:00,Molokai,Synthetic Molokai Site 632,,2,Unmanaged forest,2017-2021,Pasture,up until 2012,Unmanaged/abandoned,#N/A,Unmanaged/abandoned,,,,Control,,Orchard/tree crop,Commercial veg/fruits,None,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,#VALUE!,,,Disc,,Yes,Yes,None,Weeds,Lualualei,21.134226,-157.029014,,,Conventional cropland,PIAL,,,Udifolist,,LAC,,,50.753,77,6.65,48.54,4.99,4110.47,63.74,33.00,0.99,0.27,,0.24,,57.86,0.00,0.25,0.13,#N/A,#N/A,64.43,,10.06,,8.15,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,3/9/2022,scoring_function_noPIALv2,12
852,CIG-2020,Baseline,,,,2025-0095,2018-291,017-0041-2021-0618,0,15,8/12/2019,Oahu,Synthetic Oahu Site 313,,38,Cropland,2008-2022,Protected forest,1980s,Unmanaged/abandoned,,,,,,,,Orchard/tree crop,Protected forest,Manures,#VALUE!,,,,#VALUE!,,,,,Roto,,Yes,Yes,None,,Tantalus,21.604141,-158.003336,,,Conventional cropland,None,,Mollisol,,,PNCM,,10.08,75.59,21.82,71.06,76.39,5.73,,128.71,7.477400123,0.78,0.84,0.67,#N/A,,49.55,91.16,#N/A,0.45,,,#N/A,,9.701492537,#N/A,35.33,,,https://docs.google.com/spreadsheets/d/1pCYgXFAgVdQSXo7dxFWll33CC27Jc46VSCWVeIjVK5k/edit?usp=sharing,#N/A,scoring_function_noPIALv2,
790,CIG-2020,,,,Own,SH-HA-55,2018-292,011-0011-2022-0130,0,15,10/3/2024,Oahu,Synthetic Oahu Site 011,,23,crop land,1994-current,Unmanaged forest,1990-2005,#N/A,,,,,,1-4,,Commercial veg/fruits,,None,"500-1,000 lb/ac/yr",,,,,,,,,None,,Yes,Yes,None,,Waialua,21.709035,-158.246857,,,Managed forest,PIAL,,Vertisol,Haplustert,Ustox,HAC,,12.3,384.13,303.437751,31.75,12.46,7.04,450.75,90.49,14.7906,0.19,0.35,0.52,0.27,0.8759,67.40,0.00,#N/A,,219.08,0.28,,36.34,,#N/A,6.79,,,https://docs.google.com/spreadsheets/d/1v-gX-zrJah2fKYf8qvFhXk_jvuS8YSDcctUnHklNBGU/edit#gid=364531522,7/8/2024,scoring_function_noPIALv2,10/15/2024
,,,,,Own,775,2018-293,024-0267-2023-0483,0,15,11-04-18,Puerto Rico,Synthetic Puerto Rico Site 749,,22.8,Protected forest,2006-current,Unmanaged forest,#N/A,Unmanaged/abandoned ag land,1999-previous,,,,,F1A,5,"eucalyptus, blackberry and shrubbery",Unmanaged forest,Synthetic blend,250-500 lb/ac/yr,,,,,,,,#VALUE!,None,,Yes,Yes,,Plastic Mulch,Puhi,22.159510,-157.350620,,,Conventional cropland,PIAL,,Andisol,,Ustoll,HAC,,2.38,31.660,10.87,25.99,291.9,6.08,1360.00,,12.18,0.45,0.37,0.45,0.61,1.19,,#N/A,#N/A,,#N/A,,3.01,,13.93571429,9.772833287,,,Done,,,scoring_function_noPIALv2,10
142,CIG-2020,,,,Own,2022-0018,2018-294,011-0282-2024-0458,0,15,10/23/2023,Big Island,Synthetic Big Island Site 667,,0.49,Pasture,2006-present,Protected forest,#N/A,,#N/A,,NA,,,103,,Weeds/Unmanaged,Protected forest,None,Weed mat,,,,,,,,,Disc,,No,No,None,,Wahiawa,21.891564,-158.726555,,,Conventional cropland,PIAL,,Vertisol,Haplustand,,LAC,,,,32.87,5.88,40.35,8.34,1256,75.67,3.113308084,0.18,0.41,,0.29,,,#N/A,#N/A,0.53,#N/A,7.323859521,10.75,296.05,18.78409091,,2.23,,Done,28.01,,scoring_function_noPIALv2,7
2005,SSH,Round 3,,,Public,2023-0471,2018-295,011-0084-2023-0116,0,15,5/21/2018,Big Island,Synthetic Big Island Site 014,,128,Cropland,2006- present,Pineapple or sugarcane plantation,2003,,1950-2014,,,,,40,,Agroforestry,Nothing/bare fallow,Bone/blood meal,,,,,,,,,,None,More than twice,Yes,No,None,Weeds,Waialua,21.788171,-157.753548,,,Pasture,Yes,High,Oxisol,Gypitorrert,Ustox,PNCM,,6.93,23.79,14.38,36.10157383,126.45,6.74,66.97,86.57,49.88,0.85,,0.36,0.23,1.06,,,0.50,0.15,,#N/A,,20.51,10.64,13.46481326,,,,25.31,3/9/2022,scoring_function_noPIALv2,14
833,Department of Health,Round 2,,,,2023-0226,2018-296,012-0109-2022-0210,0,20,04/08/2020,Maui,Synthetic Maui Site 867,,128,Cropland,2010-present,Cropland,1949-2019,Cropland,1889-1949,,,,,Udox Cropland B,2,Protected forest,Protected forest,Manures,250-500 lb/ac/yr,,,,,,,,,Disc,,No,Yes,Surface Drip,Bare soil,Alapai,20.819886,-156.402766,,,Conventional,PIAL,,Andisol,Acrudox,Udox,PNCM,,1.57,,66.24,2.57,0.57,7.78,1352.58,159.85,31.68,0.19,0.78,0.64,0.18,,,#N/A,#N/A,0.48,#N/A,49.01,#N/A,36.02,8.222222222,,,,Done,9.53,,,10/15/2024
1337,CIG-2020,,,,,2022-0133,2018-297,022-0312-2024-0477,,15,2/7/2025,Oahu,Synthetic Oahu Site 363,,20,Cropland,,Unmanaged forest,until late 1800's,,,,,,,,0.2 ac,"kukui, xmas berry",Commercial veg/fruits,None,1-5 tons/ac/yr,,,,,,,,,None,More than twice,Yes,Yes,Sprinkle,,Lolekaa,21.608346,-157.715676,,,Agroforestry,PIAL,Low,,Gypitorrert,,HAC,,6.93,33.440,20.14,31.75,10.38,7.8,1297,110.33,,0.13,0.72,,0.66,,,2.10,0.50,0.18,,12.54,,22.82,11.98,#N/A,0.8,,,https://docs.google.com/spreadsheets/d/1hGlEMKGPfx7rKo0q2c9sM2IpVLl6aTYW1_uPczssraQ/edit#gid=2114689344,,scoring_function_noPIALv2,
834,CIG-2020,,cowpea,,Own,2023-0110,2018-298,011-0049-2022-0007,5,20,7/10/2024,Big Island,Synthetic Big Island Site 610,,12,Pasture,2021-current,Unmanaged/abandoned ag land,1949-2019,Pasture,1950-2014,,,,,107,,Row crop monoculture,No change,Synthetic blend,,,,,#VALUE!,,,,,Disc,,No,No,None,Weeds,Kaipoioi,19.434375,-159.065607,,,Mixed,,,Mollisol,Hydrudand,Ustand,HAC,,11.45,10.833,30.91,7.34,-4.99,7.41,261.72,88.44,14.29,0.19,0.53,0.54,0.35,#N/A,,,#N/A,0.12,#N/A,#N/A,#N/A,,12.38,5.952521109,5.11,,Done,#N/A,,,10/15/2024
553,Client Projects,Baseline,,,Lease,2021-0620,2018-299,001-0013-2018-0060,0,15,2025-02-07 00:00:00,Oahu,Synthetic Oahu Site 138,,564,Cropland,2008-2024,Unmanaged forest,1900-1996,#N/A,#N/A,,,,,L8 S2 T1,,kale,Commercial veg/fruits,Bone/blood meal,250-500 lb/ac/yr,,,,,,,,,Mulboard,,,Yes,none,Plastic Mulch,Umpump,21.294897,-158.183207,,,Organic cropland,,,Entisol,Kandiudox,,HAC,,28.84,32.91,31.93,7.08,141.18,4.9,155.5,83.64,5.018346196,0.13,0.33,0.10,0.61,,84.78,#N/A,#N/A,0.11,,11.20426983,#N/A,22.03,12.8,#N/A,,,Done,#N/A,6.7,0.05,11
1889,AFRI-Puerto Rico,Baseline,,,,2025-674-0013,2018-300,008-0023-2018-0300,0,15,11-04-18,Oahu,Synthetic Oahu Site 142,,28,Cropland,2022-2025,Pineapple or sugarcane plantation,,#N/A,#N/A,,,,,Kamahio Control 1,,Silvopasture,No change,Synthetic blend,,,,,,,,,,None,Twice yearly,,Yes,Surface Drip,,Wahiawa,21.379186,-158.129900,,,Organic cropland,PIAL,,Vertisol,Endoaquept/Palehumolt,Ustept,HAC,,2.83,36.17,55.69,,97.7,8.31,2507.38,105.05,0.3513785981,0.64,,0.02,0.37,,23.55445164,#N/A,0.00,0.67,11.79,#N/A,,,12.67,#N/A,3.05,,,30.06,6.6,scoring_function_noPIALv2,10/15/2024
1069,UROP-2019,Round 1,,,Own,2023-0199,2018-301,002-0015-2019-0084,,15,1/24/2022,Oahu,Synthetic Oahu Site 714,,5,Orchard,2004-2024,Cropland,1900-2010,,,,,,,,,Agroforestry,Protected forest,Synthetic blend,,,,,,,#VALUE!,,,Disc,More than twice,No,No,,Weed Mat,Kemole,21.724786,-157.843498,,,Organic cropland,PIAL,,Mollisol,Palehumult,Torrert,HAC,,,,122.21,68.61,-1.82,5.09,1635.87,101.34,3.629453079,,0.48,0.13,0.18,,,#N/A,#N/A,,#N/A,3.965791852,17.72,71.55,9.441860465,4.09006167,4.11,,Done,https://docs.google.com/spreadsheets/d/1hGlEMKGPfx7rKo0q2c9sM2IpVLl6aTYW1_uPczssraQ/edit#gid=2114689344,3/9/2022,,10/15/2024
1782,Client Projects,,,,Duamed Colon,2023-0436,2018-302,020-0081-2024-0239,0,15,4-12-2022,Maui,Synthetic Maui Site 428,,30,Protected forest,2015-2022,,#N/A,#N/A,#N/A,,,,,Cowpea control 1,2.1,Orchard/tree crop,Orchard/tree crop,,,,,,,,,,,None,,No,No,drip irrigation,Bare soil,Dolekei-Fomseng,20.973209,-156.465931,,,Protected forest,PIAL,,Inceptisol,Haplustox,,LAC,,1.44,219.5229,68.15,27.97,37.01,5.89,197.14,122.6,36.7,0.22,0.52,0.58,,,55.60381674,#N/A,0.25,0.27,#N/A,#N/A,#N/A,609.32,15.4532256,#N/A,39.67,,Done,https://docs.google.com/spreadsheets/d/1pCYgXFAgVdQSXo7dxFWll33CC27Jc46VSCWVeIjVK5k/edit?usp=sharing,8.1,0.06,10/15/2024
1427,UROP-2019,,,,,2022-0220,2018-303,011-0063-2022-0037,,15,12/9/2021,Maui,Synthetic Maui Site 426,,23,Orchard,2020-current,Unmanaged/abandoned ag land,,1980/1990-2018,1950-2014,,,,,P7-cover crop-Cover Mix,0.25,Nothing/bare fallow,,Synthetic blend,"1,000 lb/ac/yr - 1 ton/ac/yr",,#VALUE!,,,,,,,Spader,n/a,Yes,No,None,Bare soil,Ookala,20.802679,-156.121409,,,UPIAL,PIAL,Low,Ultisol,Acrudox,Torrert,,,6.49,193.08,114.01,16.43,27.03,7.06,1679.10,109.18,11.71,0.78,#N/A,0.75,0.03,,25.46,0.44,,0.33,#N/A,40.33,#N/A,111.23,,36.49950929,12.41,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,#N/A,0.76,#N/A
1702,UROP-2019,Round 1,,,Lease,484,2018-304,001-0011-2018-0048,0,15,11-04-18,Oahu,Synthetic Oahu Site 100,,12,Protected forest,1950-2021,Unmanaged forest,2019-1999,#N/A,#N/A,,,,,T2A,,Commercial veg/fruits,Protected forest,,1-5 tons/ac/yr,,,,,,,,,None,More than twice,Yes,Yes,Sprinkle,Weeds,Lualualei,21.348594,-157.682756,,,Organic cropland,None,,Mollisol,Haplustept,Udand,PNCM,,2.84,33.86,89.75,28.55,182.85,6.97,2509.46,45.77,35.29,0.79,0.18,0.63,0.04,1.11,52.44350016,,,0.73,#N/A,108.7079451,7.12,48.53,,11.12,16.92,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,3/9/2022,,10/15/2024
1212,CIG-2020,Baseline,,,Own,2022-0183,2018-305,022-0158-2023-0191,0,20,10/10/2023,Kauai,Synthetic Kauai Site 637,,23,Unmanaged forest,,,Forever,,,Unmanaged/abandoned,,,,,,Forage | Mixed | Nothing/bare fallow | Shrub | Unmanaged forest | Weeds/Unmanaged,,Synthetic blend,250-500 lb/ac/yr,,,,,,,,,None,,Unkonwn,Yes,Sprinkle,"Mulch (woodchip, leaf litter, other organic material)",La Luna,22.198134,-159.753209,,,Organic cropland,PIAL,,Vertisol,Hydrudand,Ustoll,HAC,,1.34,24.15,31.85,29.26,130.07,5,227.00,117.8,2.52,#N/A,,0.89,0.37,,25.12,#N/A,,0.73,60.38,10.23,,26.35,13.24,#N/A,8.52,,Done,,#N/A,,
125,Malama Puuloa,WSARE-2019,,,,344,2018-306,020-0081-2024-0198,0,15,7/17/2024,Oahu,Synthetic Oahu Site 847,,5,Cropland,Continuous,,#N/A,Unmanaged/abandoned,,,,,1995-2014,P11-cover crop- sogrhum sudan. Sorghum x drummondii. (Steud.),,Forage,No change,Synthetic blend,"500-1,000 lb/ac/yr",,0-250 lbs/acre/yr,,,,,,,None,More than twice,Yes,Yes,None,,Pulehu,21.730480,-158.238650,,,UPIAL,PIAL,,Vertisol,Haplustoll,,PNCM,,15.91,28.61,76.87,14.52,264.2,7.06,246.4,109.35,18.49,0.91,0.96,0.24,0.47,0.98,,,1.50,0.07,47.79,0,56.77,57.92,13.05,4.314059959,2.09,,,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,,0.12,18
810,CIG-2020,,,,Own,2024-0305,2018-307,007-0022-2021-0504,0,15,5/21/2024,Oahu,Synthetic Oahu Site 089,,258,Pasture,,Pineapple or sugarcane plantation,,Pasture,#N/A,,,,,P1,,Flooded taro,Orchard/tree crop,,,,,,,,,,,None,,Yes,No,None,Weeds,Lahaina,21.688397,-158.183933,,,Conventional cropland,PIAL,,Oxisol,,Aquept,LAC,,2.02,,66.75,85.11,20.48,7.77,1258.52,73.22,46.27,0.65,0.59,0.27,0.40,1.19,48.53,0.00,5.50,0.26,#N/A,#N/A,#REF!,396.63,12.3559322,6.288185205,26.55,,Done,https://docs.google.com/spreadsheets/d/1GwyqgNpfRC3okTlhCzqqJyHaifJUn20q7L_JJRwf6fA/edit,3/9/2022,scoring_function_noPIALv2,10/15/2024
204,Kākoʻo ʻŌiwi,,,,,2024-0359,2018-308,022-0168-2023-0208,0,15,2/8/21,Oahu,Synthetic Oahu Site 867,,10 acres,Unmanaged forest,2019-2021,2019-,1990-2005,Unmanaged forest,,fallow/unmanaged,,,,Lot 16 compost 2,,Nothing/bare fallow,,None,,Fish meal,#VALUE!,Synthetic blend,,,#VALUE!,,,Disc,n/a,,No,Sprinkle,Weeds,Typic Haplocambids,21.697829,-157.678854,,,Agroforestry,PIAL,,Ultisol,Haplustoll,Torrert,HAC,,1.43,72.142,67.35,22.58,3.74,6.83,,84.24,,0.69,0.89,0.35,,1.2,5.253552998,0.87,2.00,0.88,27.99,#N/A,#N/A,,10.92857143,#N/A,6.28,,Done,21.57,,scoring_function_noPIALv2,10/15/2024
1223,UROP-2019,Round 1,,,,359,2018-309,011-0281-2025-0197,0,15,8/7/2020,Maui,Synthetic Maui Site 421,,2,horticulutral and vegetable,2020-2022,Unmanaged/abandoned ag land,,#N/A,,,2014-2017,,,69,0.5,Protected forest,Forage,None,,,,,,,,,,,Yearly,No,No,None,Bare soil,Lualualei,20.621962,-156.203222,,,Conventional cropland,,,Mollisol,Palehumult,Ustoll,HAC,,1.32,39.373,27.29,11.41,-0.17,6.68,2496.77,67.31,35.93,0.07,0.58,#N/A,0.23,0.99,34.26,0.23,#N/A,0.15,72.49,#N/A,#N/A,118.46,6,8.27,1.92,,In progress,https://docs.google.com/spreadsheets/d/1GwyqgNpfRC3okTlhCzqqJyHaifJUn20q7L_JJRwf6fA/edit,7/9/2024,scoring_function_noPIALv2,#N/A
896,AFRI-2020,Baseline,,,Own,2023-0450,2018-310,011-0048-2024-0500,5,15,3/30/21,Oahu,Synthetic Oahu Site 302,,10 acres,Cropland,,Cropland (corn),1976-2016,#N/A,#N/A,,,,,P2-control-No cover crop,0.11 ac,Dryland root crops,,,N/A,,,,,,,,,Roto,,No,No,drip irrigation,Weeds,,21.310643,-157.909785,,,Does not apply,None,,Vertisol,Gypitorrert,Torrert,HAC,,3.24,188.070,94.22,138.54,0.43,5.97,2642.46,65.23,31.46037783,0.11,#N/A,,0.25,1.05,28.59,#N/A,,0.18,43.43,#N/A,,102.16,7.166666667,#REF!,16.38,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,6.6,scoring_function_noPIALv2,10/15/2024
8,ORCD,Round 1,,,,2023-0338,2018-311,011-0281-2025-0192,0,15,11/21/2023,Oahu,Synthetic Oahu Site 091,,5,Cropland,1985-2021,Cropland,,#N/A,,,1850-1950,,,P1-Inter Cropping,2,Row crop monoculture,Commercial veg/fruits,Manures,#VALUE!,,#VALUE!,,,,,,#VALUE!,None,,Yes,Yes,None,Bare soil,,21.487057,-157.858906,,,Organic,None,,Andisol,Acroperox,Ustoll,HAC,,2.13,129.13,58.19,21.2,131.64,6.97,1259.31,90.12,0.33,#N/A,0.18,0.88,0.35,,,0.42,,0.42,#N/A,,68.47,64.87,,23.30,1.58,,In progress,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,#N/A,scoring_function_noPIALv2,
580,CIG-2020,,,,,2024-0259,2018-312,001-0009-2018-0039,5,15,3/21/2019,Big Island,Synthetic Big Island Site 874,,30,Cropland,2015-current,Cropland,1949-2019,,1999-previous,,,,,95,Kikala Kaimu-side,Orchard/tree crop,Commercial veg/fruits,None,250-500 lb/ac/yr,,,,,,,,,None,,No,No,,,Lolekaa,21.935377,-155.093331,,,Mixed conventional and organic,PIAL,,Andisol,,Ustoll,HAC,,13.13,,95.25,11.98,42.65,8.7,,67.81,13.64,0.68,0.33,0.19,0.24,,,#N/A,0.25,0.2,#N/A,17.11973567,220.72,23.41,10.30,#N/A,3.74,,Done,26.97,3/9/2022,,
1951,UROP-2019,,,,,2024-0442,2018-313,011-0085-2024-0077,0,15,9/12/2024,Oahu,Synthetic Oahu Site 729,,23,Unmanaged forest,2013-current,Pasture,Pineapple or sugarcane plantation,#N/A,,,,,,,Site A - Plot 3,Orchard/tree crop,Commercial veg/fruits,Bone/blood meal,,,,,,,#VALUE!,,,None,Other,Yes,Yes,Surface Drip,,Hanalei-Lolekaa,21.706833,-158.081868,,,,PIAL,,Oxisol,Palehumult,,PNCM,,1.96,50.565,80.39073019,16.23,113.77,,182.00,106.18,1.38,0.88,0.45,0.87,0.13,0.77,,,0.25,0.12,#N/A,#N/A,5.01,22.83,12.6137931,#N/A,20.73,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,3/9/2022,scoring_function_noPIALv2,10/15/2024
1042,AFRI-2020,,,,Own,2025-674-0061,2018-314,010-0308-2024-0377,0,15,7/22/2024,Big Island,Synthetic Big Island Site 365,,5,Protected forest,2020- present,Pineapple or sugarcane plantation,#N/A,#N/A,#N/A,,,,,8-1,.023 acres,Agroforestry,Unmanaged forest,"Compost, None - mostly none","500-1,000 lb/ac/yr",,,,,,,,,None,,No,No,None,Bare soil,Pulehu,19.292872,-156.340203,,,Protected forest,PIAL,,Ultisol,Palehumult,Ustox,PNCM,,1.36,,55.15,5.934360838,97.8,,1423.4,,0.55,0.19,0.36,,0.98,0.93,,0.23,#N/A,0.37,#N/A,16.68114531,,18.73,13.48,,3.82,,,,3/9/2022,scoring_function_noPIALv2,10/15/2024
1695,SSH,Round 1,,,,2023-0491,2018-315,025-0019-2025-674-0053,0,15,12/2/2022,Oahu,Synthetic Oahu Site 095,,28,crop land,2006-present,Cropland,#N/A,,#N/A,,,,,101,2,Nothing/bare fallow,No change,Bone/blood meal,250-500 lb/ac/yr,,,,,,,,,Other,Twice yearly,No,No,Sprinkle,Weeds,Lualualei,21.352891,-157.688206,,,Conventional,None,,Histosol,Gypitorrert,Ustoll,HAC,,7.55,,92.42,28.96,3.00,6.06,905.88,92.77,9.24,0.63,0.23,0.15,0.48,,#N/A,#N/A,#N/A,0.13,54.93,#N/A,,,11.69135802,,4.75,,Done,https://docs.google.com/spreadsheets/d/1v-gX-zrJah2fKYf8qvFhXk_jvuS8YSDcctUnHklNBGU/edit#gid=364531522,7/9/2024,0.59,
1158,,Baseline,,,,2024-0213,2018-316,002-0018-2019-0112,0,15,6/3/2019,Oahu,Synthetic Oahu Site 235,,,Orchard,Continuous,Protected forest,2004-2016,#N/A,#N/A,,,,,Lot 16 sunhemp 3,200,Commercial veg/fruits,Commercial veg/fruits,None,,Compost (2019),,,,,,,,Spader,N/A,Yes,No,None,"Mulch (woodchip, leaf litter, other organic material)",Ewa,21.275156,-158.046446,,,Protected forest,PIAL,,Oxisol,,Ustand,PNCM,,1.57,87.942,24.22,7.04,-1.67,6.49,889.37,83.82,14.32,,0.84,0.18,0.30,0.84,,10.16,#N/A,2.34,21.95,#N/A,#REF!,,6.833333333,#N/A,,,In progress,,7/9/2024,scoring_function_noPIALv2,#N/A
1013,CIG-2020,Baseline,,,Own,2023-0298,2018-317,001-0006-2017-0030,0,15,,Oahu,Synthetic Oahu Site 266,,46,Agroforestry,Continuous,Pasture,1990-2005,#N/A,,,,,,IA3A,undefined,Unmanaged forest,Forage,Synthetic blend,,Biochar,,,#VALUE!,,,,,Roto,,Yes,Yes,None,Weeds,San Anton,21.251201,-157.909978,,,Conventional,None,,Oxisol,Palehumult,Ustox,LAC,,4.75,126.619,3.43,30.86,,8.37,227.35,137.7,7.69,#N/A,0.65,0.16,0.32,0,16.96,6.62,#N/A,0.67,#N/A,2.198989687,#N/A,39.54,8.3,#N/A,8.94,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,6.8,1.46,10/15/2024
1287,Department of Health,Baseline,,,Own,2024-0033,2018-318,011-0281-2025-0190,0,15,08/29/2022,Oahu,Synthetic Oahu Site 090,,23,Cropland,2022-2024,Pineapple or sugarcane plantation,#N/A,,unknown,,,,,Control 5 - Section E,Halawa,Nothing/bare fallow,,,n/a,,,,,,#VALUE!,,,,,No,Yes,Surface Drip,,Ookala,21.709595,-157.804806,,,Conventional cropland,None,,,Palehumult,Ustox,PNCM,,17.59,26.080,83.43,67.33,95.13,5.81,569.74,,19.43,0.58,0.46,0.34,,,58.32,,#N/A,0.32,#N/A,5.460668544,#N/A,,11.99473321,11.09903808,,,,12.48,,0.16,
